dataset,model,beta,k,actions,data_pop_corr,base_pop_corr,max_pop_corr,base_exp_corr,max_exp_corr
ml-1m,libfm,0.1,20,next_k,0.34628012637495525,0.8120070437830623,-0.5710813820918973,0.1736584689474241,0.37636958901733053
ml-1m,libfm,1.0,5,next_k,0.34628012637495525,0.8402141312886696,0.5001417658168005,0.36601969862870504,0.5274699164514851
ml-1m,libfm,1.0,20,next_k,0.34628012637495525,0.8261669340752497,-0.007061656687700133,0.34430379934611927,0.4885672637321676
ml-1m,libfm,0.1,10,next_k,0.34628012637495525,0.821801480842604,-0.48767305148337764,0.1793749925877796,0.5150714947737425
ml-1m,libfm,1.0,10,next_k,0.34628012637495525,0.833602163833134,0.2733786120646427,0.4054942421757417,0.5201029936313368
ml-1m,libfm,0.5,10,next_k,0.34628012637495525,0.8344370520662058,-0.1051009722072004,0.3219803872748491,0.5075584571426995
ml-1m,libfm,2.0,10,next_k,0.34628012637495525,0.8274922312375957,0.5013164176757723,0.475777347168578,0.5303587966095636
ml-1m,libfm,0.5,20,next_k,0.34628012637495525,0.8233550016558022,-0.3122533392153201,0.26291225520234573,0.4513738252413304
ml-1m,libfm,0.5,5,next_k,0.34628012637495525,0.8627492826621297,0.23606616504816982,0.2594345738401164,0.529293248209011
ml-1m,libfm,0.1,5,next_k,0.34628012637495525,0.8552184051786502,-0.2541922959787434,0.04944252965806647,0.522968043457232
ml-1m,libfm,2.0,5,next_k,0.34628012637495525,0.8235980246891491,0.6221875012271602,0.46557900799625207,0.5361158764419832
ml-1m,libfm,2.0,20,next_k,0.34628012637495525,0.8296793826625227,0.30706267193852604,0.44268232488748965,0.505357289423377
ml-1m,libfm,4.0,10,next_k,0.34628012637495525,0.8140341147766549,0.5724065688005339,0.4980381132020789,0.5128175636461734
ml-1m,libfm,10.0,10,next_k,0.34628012637495525,0.7927899085188829,0.6011656791907829,0.37842697158928756,0.4898531220505682
ml-1m,libfm,10.0,5,next_k,0.34628012637495525,0.7992318291292453,0.6779957899009674,0.3524701534291938,0.409048890950132
ml-1m,libfm,10.0,20,next_k,0.34628012637495525,0.7971065528821188,0.4981717080338332,0.4346377313602086,0.4576068857396117
ml-1m,libfm,4.0,20,next_k,0.34628012637495525,0.8307715596679546,0.4428676671842561,0.47763313482996517,0.45797283145228374
ml-1m,libfm,4.0,5,next_k,0.34628012637495525,0.8269981535241198,0.6731283161897038,0.46792735330141827,0.48891717812898705
ml-1m,libfm,1.0,20,random_history,0.34628012637495525,0.9063602553226762,0.18603830940524205,0.22052490351541454,0.32022322755789423
ml-1m,libfm,2.0,5,random_history,0.34628012637495525,0.8816427885578294,0.6914894348525574,0.43297298126310496,0.40909356079888864
ml-1m,libfm,2.0,10,random_history,0.34628012637495525,0.8816379492236446,0.5555773352264183,0.43268209985378636,0.42505042732928117
ml-1m,libfm,0.5,10,random_history,0.34628012637495525,0.914048450715954,0.3389810537068074,0.10233236864982471,0.14393292071195815
ml-1m,libfm,0.5,20,random_history,0.34628012637495525,0.914076465171601,-0.00674070673524398,0.10284249397626705,0.2761174536296864
ml-1m,libfm,2.0,20,random_history,0.34628012637495525,0.8816334365353816,0.40083121521578824,0.43188475432306656,0.43685629546826904
ml-1m,libfm,0.1,10,random_history,0.34628012637495525,0.8820844838648628,0.28364458060684855,-0.06575790772144725,0.12338535113671034
ml-1m,libfm,0.5,5,random_history,0.34628012637495525,0.9140307452338889,0.7555623940393936,0.10239298161884154,0.015632688274136147
ml-1m,libfm,0.1,5,random_history,0.34628012637495525,0.8820991492176165,0.7484509964038631,-0.06575790772144725,-0.030493359676019974
ml-1m,libfm,0.1,20,random_history,0.34628012637495525,0.8820845345533314,-0.1811291905197371,-0.06579015410183084,0.28953754106501983
ml-1m,libfm,1.0,10,random_history,0.34628012637495525,0.9063481314661597,0.42959239015914924,0.22015280648360713,0.24267778121302122
ml-1m,libfm,1.0,5,random_history,0.34628012637495525,0.9063537824052422,0.7086445179500754,0.22015280648360713,0.14697741797747357
ml-1m,libfm,10.0,10,random_history,0.34628012637495525,0.7849234630001376,0.6478443769081536,0.14346996592280004,0.531063311860766
ml-1m,libfm,4.0,10,random_history,0.34628012637495525,0.8441390055393915,0.627243176153309,0.43987873582162573,0.5088032510962855
