inner_id,num_rating,avg_rating,avg_rating_q,beta,access_type,access,log_access
5,2,4.667251507298303,"(4.145, 4.807]",2.0,baseline,7.51183618847351e-05,-4.1242538913513345
30,8,4.61142605740785,"(4.145, 4.807]",2.0,baseline,7.650674970240193e-05,-4.116300248124862
35,3,4.447577293945062,"(4.145, 4.807]",2.0,baseline,5.625012926187793e-05,-4.24987647521383
42,17,4.38983368674824,"(4.145, 4.807]",2.0,baseline,8.115222059648225e-05,-4.090699591923959
84,264,4.112201620278237,"(3.316, 4.145]",2.0,baseline,6.110413545882346e-05,-4.21392939620311
96,436,3.8791826916510534,"(3.316, 4.145]",2.0,baseline,4.206845361728091e-05,-4.376043451801045
120,10,5.233722594270293,"(4.807, 9.624]",2.0,baseline,8.758610534520241e-05,-4.057564784819675
134,61,5.209950736530402,"(4.807, 9.624]",2.0,baseline,0.00012047001895157897,-3.9191210213377254
136,919,4.794593029712912,"(4.145, 4.807]",2.0,baseline,0.00014343533894987476,-3.843343835975426
149,1,0.6931471805599453,"(0.692, 3.316]",2.0,baseline,1.7420112629188501e-06,-5.75894904140201
207,551,4.6299872769565,"(4.145, 4.807]",2.0,baseline,0.00013107628236442935,-3.8824758847409133
208,124,4.735032680633674,"(4.145, 4.807]",2.0,baseline,0.0001632637250808645,-3.787110298712453
212,2,5.2806721431587444,"(4.807, 9.624]",2.0,baseline,0.00014366075277352986,-3.8426618622203197
250,1,7.133295954896068,"(4.807, 9.624]",2.0,baseline,0.00013103743332046935,-3.882604622189837
251,218,4.834357384218871,"(4.807, 9.624]",2.0,baseline,0.00023595021454551776,-3.627179623424265
254,113,4.139177390059203,"(3.316, 4.145]",2.0,baseline,7.265865265426107e-05,-4.138712659738442
283,76,4.857562802648471,"(4.807, 9.624]",2.0,baseline,0.00014196503543961397,-3.847818604810115
319,29,3.800067409648965,"(3.316, 4.145]",2.0,baseline,6.41919168553179e-05,-4.192519655515946
332,75,4.46098352408522,"(4.145, 4.807]",2.0,baseline,0.00016671860152982757,-3.7780159413173875
363,21,4.254374651820913,"(4.145, 4.807]",2.0,baseline,0.00012085232953514294,-3.9177449737668217
