inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access,log_access
0,86,"(49.0, 394.0]",0.6931471805599457,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0031969850525506963,-2.495259394260038
1,283,"(49.0, 394.0]",0.6984619416792974,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.00318509019000098,-2.4968782655373647
2,2282,"(394.0, 2401.5]",0.8054846400247401,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.004617823167435416,-2.3355627017517615
3,3100,"(2401.5, 35762.0]",0.9627752820225798,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.005871743124253985,-2.2312329520973058
4,458,"(394.0, 2401.5]",0.7070276088876228,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.004187585630515654,-2.3780362991240063
5,70,"(49.0, 394.0]",0.6931471805599454,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0027641654727711064,-2.558435962108136
6,3845,"(2401.5, 35762.0]",0.8372532129874457,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.005361923444110549,-2.270679391031561
7,3,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0038711180787860443,-2.412163581410804
8,7701,"(2401.5, 35762.0]",0.9249663479679857,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.007017662297830346,-2.1538075346269636
9,168,"(49.0, 394.0]",0.6996865394210661,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0031524671622016037,-2.5013494285769005
10,65,"(49.0, 394.0]",0.6931471805599452,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.00321088678994857,-2.4933750066002314
11,527,"(394.0, 2401.5]",0.7502990668845693,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.004493347338092635,-2.3474300089194253
12,1074,"(394.0, 2401.5]",0.7792455569503716,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.00516722997579679,-2.2867422090568374
13,9605,"(2401.5, 35762.0]",0.854875330919463,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.006872346867933413,-2.1628949284801218
14,2876,"(2401.5, 35762.0]",0.7609190297043839,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.00579682905493177,-2.2368095065283975
15,459,"(394.0, 2401.5]",0.71055789761116,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.003560395093239452,-2.448501806158311
16,639,"(394.0, 2401.5]",0.7566005134319366,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.003523953738171345,-2.452969801562142
17,268,"(49.0, 394.0]",0.7154016342389244,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.0033890860387245352,-2.4699174055890056
18,151,"(49.0, 394.0]",0.6985175793428359,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.002962903046526217,-2.528282559470867
19,975,"(394.0, 2401.5]",0.7479864817395683,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.004836929788404729,-2.3154302166697835
20,1642,"(394.0, 2401.5]",0.8519751113045927,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.005507015528519251,-2.259083698906276
21,1751,"(394.0, 2401.5]",0.7953214630247265,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.004694134959679215,-2.3284444282863435
22,236,"(49.0, 394.0]",0.7000194705278815,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0032019750444776743,-2.494582057203688
23,889,"(394.0, 2401.5]",0.7728335761716364,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.0050017094838660835,-2.3008815371592886
24,5,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.003472503621184636,-2.4593572927005884
25,101,"(49.0, 394.0]",0.693147180559946,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.002960717667455652,-2.5286030047390904
26,26,"(0.999, 49.0]",0.6931471805599452,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.003180210904084706,-2.4975440776750117
27,287,"(49.0, 394.0]",0.7072748846752137,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.003639495486208717,-2.4389588149062873
28,57,"(49.0, 394.0]",0.693147180559945,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.003230775411698906,-2.4906932310414582
29,4,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0029647357455252193,-2.528014010351887
30,10747,"(2401.5, 35762.0]",1.0266252443480213,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.007334702077407681,-2.134617521734204
31,375,"(49.0, 394.0]",0.7254092771165535,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.0035021905775144556,-2.45566022475431
32,9642,"(2401.5, 35762.0]",0.9167372042165463,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.00878408153804384,-2.0563036415462888
33,56,"(49.0, 394.0]",0.6931471805599448,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.00298865791816017,-2.5245237914703904
34,2330,"(394.0, 2401.5]",0.7819802268470637,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.005238112787262491,-2.2808251545632543
35,103,"(49.0, 394.0]",0.693147180559946,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.002749002836667158,-2.560824812012385
36,12,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0038098093444730603,-2.419096757320462
37,1107,"(394.0, 2401.5]",0.7235356656002175,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.004011163990792897,-2.3967295821368904
38,2440,"(2401.5, 35762.0]",0.7151731679813091,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.003368446821587712,-2.4725703045598753
39,723,"(394.0, 2401.5]",0.7110022516871166,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0037420768038141784,-2.426887303118643
40,77,"(49.0, 394.0]",0.6931471805599455,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.00283166103125702,-2.547958735821749
41,1363,"(394.0, 2401.5]",0.7122150165100789,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0037338325503024155,-2.427845162581453
42,8,"(0.999, 49.0]",0.7438303190734659,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.006113865033753741,-2.2136841527448605
43,46,"(0.999, 49.0]",0.6931471805599445,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.002803393310950704,-2.5523159672441227
44,647,"(394.0, 2401.5]",0.693147180559947,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0026905893118527677,-2.5701525873375926
45,33,"(0.999, 49.0]",0.6931471805599448,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.00300980771622522,-2.5214612487416277
46,532,"(394.0, 2401.5]",0.6939093330187968,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.002704032160953959,-2.567988147330337
47,47,"(0.999, 49.0]",0.6931471805599444,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0026943944078704884,-2.5695388315438312
48,160,"(49.0, 394.0]",0.6931471805599464,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.002559161680094911,-2.5919022758342036
49,12049,"(2401.5, 35762.0]",0.9455748584022358,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.007438586965236721,-2.128509555244908
50,7,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0029175016871938494,-2.53498888412963
51,622,"(394.0, 2401.5]",0.7092147040761053,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0034909197598594105,-2.4570601334977025
52,77,"(49.0, 394.0]",0.6931471805599455,"(0.69314718055995, 0.71243678896423]",2.0,baseline,0.0026988024702970796,-2.5688289009934366
53,1,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0038767663795484498,-2.411530369518966
54,26,"(0.999, 49.0]",0.6931471805599452,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0030413073179859666,-2.5169396930548134
55,2,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0031584257348988096,-2.5005293303582876
56,1,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.002885206008811901,-2.5398231720070186
57,3,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0037444938664877823,-2.4266068764548843
58,2696,"(2401.5, 35762.0]",0.7484282526203436,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.004310238325524415,-2.3654987157792697
59,1,"(0.999, 49.0]",0.6931471805599453,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.004317820520408036,-2.3647354140204078
60,1052,"(394.0, 2401.5]",0.7600057841771094,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.004144873390708489,-2.382488730869184
61,10701,"(2401.5, 35762.0]",0.9019000204770332,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.006794144288963035,-2.1678652341461446
62,629,"(394.0, 2401.5]",0.8010698627137449,"(0.78523118835853, 1.36762178469616]",2.0,baseline,0.004928366979330047,-2.3072969609158624
63,35,"(0.999, 49.0]",0.6931471805599447,"(0.69314718055993, 0.69314718055995]",2.0,baseline,0.0029502530675659952,-2.5301407294002916
64,107,"(49.0, 394.0]",0.7185721592618222,"(0.71243678896423, 0.78523118835853]",2.0,baseline,0.0038645890905371788,-2.41289667644145
