kind,action_count,beta,User,Item,baseline_rho_mat,max_rho_mat,max_rank_mat,baseline_rank_mat,updated_baseline_rho_mat,updated_baseline_rank_mat,lift,updated_rank_gain,updated_lift,log_baseline_rho,log_max_rho,log_lift,fancy_kind,new_log_lift
Next K,5,1.0,29,1839.678,0.0002808732587795963,0.0002888588004482287,1724.748,,0.0002805832800640215,1905.522,1.0339260573550233,180.774,1.029779036603176,-8.462018114423845,-8.432674654617628,0.029343459806218164,Next K,0.012744046570424692
Next K,5,1.0,34,1809.2284569138276,0.00027857402411178637,0.0002901234454271917,1727.6693386773547,,0.00027649000320818405,1723.2344689378758,1.045133085289164,-4.434869739478958,1.0495160814301456,-8.55642787543542,-8.508101519060032,0.04832635637539468,Next K,0.020989097537633724
Next K,5,1.0,43,1812.968,0.0002825945729705579,0.0002953118760605261,1714.25,,0.00028393487441668116,1782.32,1.0538678269801287,68.07,1.0407788403559501,-8.513051920511092,-8.473088564565614,0.03996335594548693,Next K,0.017358454181831733
Next K,5,1.0,45,1963.23,0.0002822507920755468,0.000296783661339117,1709.342,,0.0002823295613835292,1819.592,1.0913988407848165,110.25,1.0519396489854917,-8.96846059740654,-8.917834076189674,0.05062652121684944,Next K,0.021990824547362554
Next K,5,1.0,171,1743.132,0.00027241788973195814,0.00035123353872391986,1486.504,,0.00026959897759600476,1821.48,1.3033468133209092,334.976,1.3250911863863153,-8.50921334911003,-8.228739293964736,0.2804740551452916,Next K,0.1222457653534075
Next K,5,1.0,231,1832.424,0.00027031583982747154,0.0002826155084549243,1745.884,,0.000269368713061877,1870.348,1.0551479319697916,124.464,1.0498192511259044,-8.624357141718145,-8.57576331454628,0.04859382717187372,Next K,0.021114532407253413
Next K,5,1.0,362,1818.567134268537,0.000267905051884207,0.0002980812711635488,1666.4488977955912,,0.0002687923546020156,1792.5851703406813,1.1778448285353469,126.13627254509018,1.1136489707901676,-8.579125731688569,-8.471744073197742,0.10738165849081643,Next K,0.04674832003618086
Next K,5,1.0,405,1867.49,0.00026871035060460987,0.00027860385345339806,1787.886,,0.0002649098221895392,1784.19,1.0413834954227965,-3.696,1.0518835664804214,-8.509924335473157,-8.45934392225529,0.0505804132178458,Next K,0.02196767020406023
Next K,5,1.0,423,1807.824,0.00037703313059104853,0.0003790127699568033,1290.43,,0.0003771111485102829,1237.954,1.0051614148687242,-52.476,1.0050445951580742,-8.134993361720612,-8.129961472316559,0.005031889404042838,Next K,0.00218533240465256
Next K,5,1.0,490,1876.162,0.0002690537664594466,0.00032556001121528285,1567.486,,0.0002693907593092109,1797.668,1.2312148552460038,230.182,1.2209005521482017,-8.60723011439697,-8.407941893017455,0.19928822137951613,Next K,0.08668029014289941
Next K,5,1.0,568,1847.1523046092184,0.00029146144726611777,0.0003045460975791379,1672.1482965931864,,0.00028797217141383587,1858.12625250501,1.0695441712532185,185.97795591182364,1.0577431701461044,-8.405868185110778,-8.349735360989554,0.05613282412122239,Next K,0.024380229770351584
Next K,5,1.0,616,1852.06,0.00026483213506460626,0.00026764994622837935,1855.396,,0.0002644036895794723,1910.518,1.0106047261082065,55.122,1.0122916331854641,-8.50062548895299,-8.488408852381845,0.012216636571160396,Next K,0.0053056473232765255
Next K,5,1.0,638,1763.966,0.0002979802251052549,0.00030491354272479205,1635.16,,0.00029850221610925855,1684.684,1.0232183547487794,49.524,1.0216560742032814,-8.274168339399635,-8.252745233725925,0.021423105673711907,Next K,0.009304721421317476
Next K,5,1.0,693,1749.456,0.0002905350896659967,0.00031454663721813304,1624.344,,0.00028569237929572746,1830.492,1.0824876323734844,206.148,1.1029261509848207,-8.525038568144053,-8.427113800210993,0.09792476793305985,Next K,0.0425464342049251
Next K,5,1.0,732,1799.412,0.0002754529416758606,0.0002829741508753316,1777.246,,0.00027245425092107183,1835.068,1.0332698929505508,57.822,1.038616411596028,-8.546481302407894,-8.508596160617872,0.037885141790019686,Next K,0.016455180775195668
Next K,5,1.0,743,1775.378,0.0002889565627360865,0.0003248084745690485,1554.668,,0.0002863586008170114,1685.702,1.1169119095033393,131.034,1.138507656990085,-8.458860653716727,-8.329214583638151,0.12964607007856951,Next K,0.056335955792057045
Next K,5,1.0,777,1844.67,0.00027696591651016507,0.0002779959404970037,1794.86,,0.0002773134370304442,1829.708,1.0038742783522305,34.848,1.0024593007036846,-8.528553164959396,-8.526096886133432,0.0024562788259645907,Next K,0.001066749533008301
Next K,5,1.0,796,1869.3032128514055,0.00026557721736436004,0.00029509374910353025,1697.1084337349398,,0.000265710681428571,1794.3915662650602,1.1347005294636763,97.28313253012048,1.112618222480575,-8.528144730351551,-8.421507574025602,0.10663715632594657,Next K,0.04634616854562596
Next K,5,1.0,809,1931.702,0.00027707666618415565,0.00028198698409651453,1772.956,,0.0002770627788872972,1882.566,1.0236209500866318,109.61,1.0177226469223224,-8.512035488460018,-8.49446886362518,0.017566624834835728,Next K,0.0076294387838513715
Next K,5,1.0,821,1817.398,0.000296710124843772,0.00030637231309120077,1600.314,,0.00029585853079197247,1674.174,1.0485294492940314,73.86,1.0356909158067475,-8.34436835838878,-8.30930156861386,0.03506678977492418,Next K,0.015230167004356296
Next K,5,1.0,826,1844.246,0.0002784226918241846,0.0003009643436443912,1693.948,,0.000275441755154699,1813.184,1.1082983087203324,119.236,1.0962966450062266,-8.58882676514426,-8.496986738698489,0.09184002644576483,Next K,0.03992808504031983
Next K,5,1.0,850,1834.058116232465,0.00027841376181000313,0.00032501081182076684,1594.4228456913827,,0.0002775249228908488,1741.8256513026051,1.200521908842522,147.40280561122245,1.1798944720032865,-8.426330827570643,-8.261122737798264,0.1652080897723717,Next K,0.07184316639418356
Next K,5,1.0,882,1840.17,0.000263033794600126,0.00027310256279258836,1826.176,,0.0002646138099990846,1878.154,1.0311554937842582,51.978,1.032368472041648,-8.633594214493447,-8.601739508873985,0.03185470561945751,Next K,0.013834732962672739
Next K,5,1.0,884,1776.988,0.0002881218493017808,0.00029239496076958864,1724.544,,0.00028966291114819795,1811.458,1.0182961603062763,86.914,1.009548369808846,-8.405882379768538,-8.396379575696734,0.009502804071813637,Next K,0.004127131836194636
