inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access,log_access
0,2077,"(350.0, 3428.0]",4.146846413095811,"(3.741, 5.0]",2.0,baseline,0.00047784326875233575,-3.3207145273999292
1,701,"(350.0, 3428.0]",3.20114122681883,"(2.823, 3.332]",2.0,baseline,0.00011903166550791517,-3.924337489649678
2,478,"(350.0, 3428.0]",3.01673640167364,"(2.823, 3.332]",2.0,baseline,0.00010381534839428791,-3.9837384342507587
3,170,"(123.5, 350.0]",2.7294117647058824,"(0.999, 2.823]",2.0,baseline,4.4230452856540504e-05,-4.3542786140536425
4,296,"(123.5, 350.0]",3.0067567567567566,"(2.823, 3.332]",2.0,baseline,7.611627024213682e-05,-4.118522500639146
5,940,"(350.0, 3428.0]",3.8787234042553194,"(3.741, 5.0]",2.0,baseline,0.000291896009748487,-3.5347718418261627
6,458,"(350.0, 3428.0]",3.410480349344978,"(3.332, 3.741]",2.0,baseline,0.00017042826845096702,-3.768458368407059
7,68,"(33.0, 123.5]",3.014705882352941,"(2.823, 3.332]",2.0,baseline,6.95191017364319e-05,-4.157895848087457
8,102,"(33.0, 123.5]",2.656862745098039,"(0.999, 2.823]",2.0,baseline,0.0001061615726641048,-3.9740326565124637
9,888,"(350.0, 3428.0]",3.5405405405405403,"(3.332, 3.741]",2.0,baseline,0.00022595102791605524,-3.6459856785980804
10,1033,"(350.0, 3428.0]",3.7938044530493706,"(3.741, 5.0]",2.0,baseline,0.0003389741573521631,-3.469833410195629
11,160,"(123.5, 350.0]",2.3625,"(0.999, 2.823]",2.0,baseline,2.313183628907694e-05,-4.635789889989492
12,99,"(33.0, 123.5]",3.2626262626262625,"(2.823, 3.332]",2.0,baseline,0.00017722669489781418,-3.75147086160452
13,153,"(123.5, 350.0]",3.542483660130719,"(3.332, 3.741]",2.0,baseline,0.00031394554055741013,-3.5031456815021573
14,146,"(123.5, 350.0]",2.458904109589041,"(0.999, 2.823]",2.0,baseline,4.936828082450843e-05,-4.306551996163685
15,682,"(350.0, 3428.0]",3.7932551319648096,"(3.741, 5.0]",2.0,baseline,0.0004272455200596861,-3.3693224824365013
16,835,"(350.0, 3428.0]",4.027544910179641,"(3.741, 5.0]",2.0,baseline,0.00045600061836103867,-3.3410345684088
17,157,"(123.5, 350.0]",3.337579617834395,"(3.332, 3.741]",2.0,baseline,0.00012794324945011014,-3.8929826234454756
18,389,"(350.0, 3428.0]",2.480719794344473,"(0.999, 2.823]",2.0,baseline,3.102100315129896e-05,-4.508344162162988
19,160,"(123.5, 350.0]",2.5375,"(0.999, 2.823]",2.0,baseline,5.93492608369387e-05,-4.226584685579445
20,1356,"(350.0, 3428.0]",3.6238938053097347,"(3.332, 3.741]",2.0,baseline,0.00022708879456404446,-3.643804295014372
