inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access,log_access
0,2077,"(350.0, 3428.0]",4.146846413095811,"(3.741, 5.0]",2.0,baseline,0.0001242452896356787,-3.9057200671741863
1,701,"(350.0, 3428.0]",3.20114122681883,"(2.823, 3.332]",2.0,baseline,4.5642516875681396e-05,-4.340630415194184
2,478,"(350.0, 3428.0]",3.01673640167364,"(2.823, 3.332]",2.0,baseline,3.21396634480924e-05,-4.492958675282743
3,170,"(123.5, 350.0]",2.7294117647058824,"(0.999, 2.823]",2.0,baseline,7.130755395295999e-06,-5.146864460802918
4,296,"(123.5, 350.0]",3.0067567567567566,"(2.823, 3.332]",2.0,baseline,4.8082292965937905e-05,-4.318014829717691
5,940,"(350.0, 3428.0]",3.8787234042553194,"(3.741, 5.0]",2.0,baseline,0.00012406580702641905,-3.9063478950998958
6,458,"(350.0, 3428.0]",3.410480349344978,"(3.332, 3.741]",2.0,baseline,2.6470055083255705e-05,-4.5772451549461355
7,68,"(33.0, 123.5]",3.014705882352941,"(2.823, 3.332]",2.0,baseline,9.298308595701547e-06,-5.031596044388001
8,102,"(33.0, 123.5]",2.656862745098039,"(0.999, 2.823]",2.0,baseline,7.669553403760698e-05,-4.115229924177383
9,888,"(350.0, 3428.0]",3.5405405405405403,"(3.332, 3.741]",2.0,baseline,4.3959794521919424e-05,-4.356944346235014
10,1033,"(350.0, 3428.0]",3.7938044530493706,"(3.741, 5.0]",2.0,baseline,0.00017216590874581138,-3.764052840741485
11,160,"(123.5, 350.0]",2.3625,"(0.999, 2.823]",2.0,baseline,4.84212826065266e-06,-5.3149637109380805
12,99,"(33.0, 123.5]",3.2626262626262625,"(2.823, 3.332]",2.0,baseline,3.77388131465584e-05,-4.423211762146858
13,153,"(123.5, 350.0]",3.542483660130719,"(3.332, 3.741]",2.0,baseline,0.0001441082867045716,-3.8413110450944554
14,146,"(123.5, 350.0]",2.458904109589041,"(0.999, 2.823]",2.0,baseline,5.278126538926762e-06,-5.277520202123002
15,682,"(350.0, 3428.0]",3.7932551319648096,"(3.741, 5.0]",2.0,baseline,0.0008265119148692964,-3.0827508813246087
16,835,"(350.0, 3428.0]",4.027544910179641,"(3.741, 5.0]",2.0,baseline,7.566236914644644e-05,-4.121120064165139
17,157,"(123.5, 350.0]",3.337579617834395,"(3.332, 3.741]",2.0,baseline,4.6577077807561865e-05,-4.331827762084309
18,389,"(350.0, 3428.0]",2.480719794344473,"(0.999, 2.823]",2.0,baseline,6.568723568315349e-06,-5.18251901416837
19,160,"(123.5, 350.0]",2.5375,"(0.999, 2.823]",2.0,baseline,1.3824167124416377e-05,-4.859361024519906
20,1356,"(350.0, 3428.0]",3.6238938053097347,"(3.332, 3.741]",2.0,baseline,5.8759686748365014e-05,-4.230920528127172
21,378,"(350.0, 3428.0]",3.3492063492063493,"(3.332, 3.741]",2.0,baseline,0.00016387706390432006,-3.785481825665777
22,126,"(123.5, 350.0]",2.857142857142857,"(2.823, 3.332]",2.0,baseline,8.049627850310721e-05,-4.094224197432442
23,624,"(350.0, 3428.0]",3.1794871794871793,"(2.823, 3.332]",2.0,baseline,3.4716593091239726e-05,-4.459462900842113
24,980,"(350.0, 3428.0]",3.6510204081632653,"(3.332, 3.741]",2.0,baseline,7.610289282678166e-05,-4.1185988344931586
25,100,"(33.0, 123.5]",3.53,"(3.332, 3.741]",2.0,baseline,2.722061249706804e-05,-4.565102106865818
26,61,"(33.0, 123.5]",2.9344262295081966,"(2.823, 3.332]",2.0,baseline,2.1464491840137065e-05,-4.668279388742276
27,179,"(123.5, 350.0]",4.055865921787709,"(3.741, 5.0]",2.0,baseline,0.00015376872310248854,-3.8131319920076163
28,403,"(350.0, 3428.0]",4.062034739454094,"(3.741, 5.0]",2.0,baseline,0.00039956718279178754,-3.3984101884082865
29,74,"(33.0, 123.5]",3.6486486486486487,"(3.332, 3.741]",2.0,baseline,0.0020068690969780433,-2.6974809545250538
30,141,"(123.5, 350.0]",3.1134751773049647,"(2.823, 3.332]",2.0,baseline,3.317590766283022e-05,-4.479177186396725
31,1511,"(350.0, 3428.0]",3.945731303772336,"(3.741, 5.0]",2.0,baseline,0.00015613903094340226,-3.8064885203552112
32,4,"(0.999, 33.0]",3.0,"(2.823, 3.332]",2.0,baseline,0.0005102539644495442,-3.2922136123211083
33,1751,"(350.0, 3428.0]",3.8914905768132497,"(3.741, 5.0]",2.0,baseline,7.460755995150507e-05,-4.127217163427176
34,70,"(33.0, 123.5]",3.3142857142857145,"(2.823, 3.332]",2.0,baseline,0.0003688978223137986,-3.433093908502912
35,928,"(350.0, 3428.0]",3.9579741379310347,"(3.741, 5.0]",2.0,baseline,0.0007787760212107091,-3.108587429026933
36,8,"(0.999, 33.0]",3.5,"(3.332, 3.741]",2.0,baseline,0.0012492706968263438,-2.903343446813919
37,28,"(0.999, 33.0]",2.8214285714285716,"(0.999, 2.823]",2.0,baseline,1.2900671130933386e-05,-4.8893876958341345
38,1362,"(350.0, 3428.0]",3.6233480176211454,"(3.332, 3.741]",2.0,baseline,5.783893645173368e-05,-4.23777970149136
39,30,"(0.999, 33.0]",3.933333333333333,"(3.741, 5.0]",2.0,baseline,0.0003390257803629576,-3.4697672757094042
40,242,"(123.5, 350.0]",3.958677685950413,"(3.741, 5.0]",2.0,baseline,0.0006904090816048315,-3.160893504568448
41,221,"(123.5, 350.0]",2.8687782805429864,"(2.823, 3.332]",2.0,baseline,9.455060162929885e-06,-5.024335703376812
42,166,"(123.5, 350.0]",3.4457831325301207,"(3.332, 3.741]",2.0,baseline,0.010323804992737332,-1.9861602074774487
43,311,"(123.5, 350.0]",2.787781350482315,"(0.999, 2.823]",2.0,baseline,5.200210126075555e-05,-4.283979107374551
