inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access,log_access
0,2077,"(350.0, 3428.0]",4.146846413095811,"(3.741, 5.0]",2.0,baseline,0.0005311410606850909,-3.27479012347324
1,701,"(350.0, 3428.0]",3.20114122681883,"(2.823, 3.332]",2.0,baseline,9.485227298365796e-05,-4.022952257475031
2,478,"(350.0, 3428.0]",3.01673640167364,"(2.823, 3.332]",2.0,baseline,0.00010130960990498924,-3.9943493569027164
3,170,"(123.5, 350.0]",2.7294117647058824,"(0.999, 2.823]",2.0,baseline,0.0001059200475465,-3.975021832953677
4,296,"(123.5, 350.0]",3.0067567567567566,"(2.823, 3.332]",2.0,baseline,0.00011303493895556669,-3.9467872958947754
5,940,"(350.0, 3428.0]",3.8787234042553194,"(3.741, 5.0]",2.0,baseline,0.0004453698927724478,-3.3512791448339367
6,458,"(350.0, 3428.0]",3.410480349344978,"(3.332, 3.741]",2.0,baseline,0.00016586812169657117,-3.780237073298032
7,68,"(33.0, 123.5]",3.014705882352941,"(2.823, 3.332]",2.0,baseline,8.053038694837242e-05,-4.094040214118312
8,102,"(33.0, 123.5]",2.656862745098039,"(0.999, 2.823]",2.0,baseline,0.00013112483050590096,-3.8823150601741685
9,888,"(350.0, 3428.0]",3.5405405405405403,"(3.332, 3.741]",2.0,baseline,0.00021296255421090246,-3.6716967530365285
10,1033,"(350.0, 3428.0]",3.7938044530493706,"(3.741, 5.0]",2.0,baseline,0.0002591070458393883,-3.5865207771818257
11,160,"(123.5, 350.0]",2.3625,"(0.999, 2.823]",2.0,baseline,5.2622190920566004e-05,-4.27883107405906
12,99,"(33.0, 123.5]",3.2626262626262625,"(2.823, 3.332]",2.0,baseline,0.00014345190853209803,-3.843293669380723
13,153,"(123.5, 350.0]",3.542483660130719,"(3.332, 3.741]",2.0,baseline,0.0002694569083484193,-3.569510677463625
14,146,"(123.5, 350.0]",2.458904109589041,"(0.999, 2.823]",2.0,baseline,3.337916914511719e-05,-4.476524477728123
15,682,"(350.0, 3428.0]",3.7932551319648096,"(3.741, 5.0]",2.0,baseline,0.00033507284736530033,-3.4748607638006535
16,835,"(350.0, 3428.0]",4.027544910179641,"(3.741, 5.0]",2.0,baseline,0.0006102316781177499,-3.21450525117634
17,157,"(123.5, 350.0]",3.337579617834395,"(3.332, 3.741]",2.0,baseline,0.0002163416825361437,-3.664859797012949
18,389,"(350.0, 3428.0]",2.480719794344473,"(0.999, 2.823]",2.0,baseline,8.09484265900711e-05,-4.091791588292828
19,160,"(123.5, 350.0]",2.5375,"(0.999, 2.823]",2.0,baseline,7.228775832942212e-05,-4.1409352426794666
20,1356,"(350.0, 3428.0]",3.6238938053097347,"(3.332, 3.741]",2.0,baseline,0.0002392764883187359,-3.6210999737438168
21,378,"(350.0, 3428.0]",3.3492063492063493,"(3.332, 3.741]",2.0,baseline,0.00020011462903722784,-3.698721161848976
22,126,"(123.5, 350.0]",2.857142857142857,"(2.823, 3.332]",2.0,baseline,7.831998375457432e-05,-4.106127411287905
23,624,"(350.0, 3428.0]",3.1794871794871793,"(2.823, 3.332]",2.0,baseline,8.054724344042542e-05,-4.0939493178033874
24,980,"(350.0, 3428.0]",3.6510204081632653,"(3.332, 3.741]",2.0,baseline,0.0002464583465289935,-3.6082564694950356
25,100,"(33.0, 123.5]",3.53,"(3.332, 3.741]",2.0,baseline,0.00026653986619420847,-3.5742378246362922
26,61,"(33.0, 123.5]",2.9344262295081966,"(2.823, 3.332]",2.0,baseline,5.862074649333936e-05,-4.231948655432318
