inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access,log_access
0,2077,"(350.0, 3428.0]",4.146846413095811,"(3.741, 5.0]",2.0,baseline,0.0005447135920899057,-3.2638317877597385
1,701,"(350.0, 3428.0]",3.20114122681883,"(2.823, 3.332]",2.0,baseline,0.00014098173938759245,-3.8508371355487276
2,478,"(350.0, 3428.0]",3.01673640167364,"(2.823, 3.332]",2.0,baseline,0.00011648849260861491,-3.933716974581455
3,170,"(123.5, 350.0]",2.7294117647058824,"(0.999, 2.823]",2.0,baseline,4.320133781750823e-05,-4.364502804162738
4,296,"(123.5, 350.0]",3.0067567567567566,"(2.823, 3.332]",2.0,baseline,0.00011236468557159389,-3.9493701591513113
5,940,"(350.0, 3428.0]",3.8787234042553194,"(3.741, 5.0]",2.0,baseline,0.00022047508983672655,-3.6566404717633993
6,458,"(350.0, 3428.0]",3.410480349344978,"(3.332, 3.741]",2.0,baseline,0.00011267411600120105,-3.948175840555023
7,68,"(33.0, 123.5]",3.014705882352941,"(2.823, 3.332]",2.0,baseline,9.81737434051683e-05,-4.008004648862678
8,102,"(33.0, 123.5]",2.656862745098039,"(0.999, 2.823]",2.0,baseline,4.949448728429202e-05,-4.30544317026517
9,888,"(350.0, 3428.0]",3.5405405405405403,"(3.332, 3.741]",2.0,baseline,0.000211450935056411,-3.6747903900207852
10,1033,"(350.0, 3428.0]",3.7938044530493706,"(3.741, 5.0]",2.0,baseline,0.00041099914018672464,-3.386159086670285
11,160,"(123.5, 350.0]",2.3625,"(0.999, 2.823]",2.0,baseline,3.2789031691804326e-05,-4.484271408494268
12,99,"(33.0, 123.5]",3.2626262626262625,"(2.823, 3.332]",2.0,baseline,0.00015022001914720572,-3.823272187000164
13,153,"(123.5, 350.0]",3.542483660130719,"(3.332, 3.741]",2.0,baseline,0.0002611271801383772,-3.583147921092575
14,146,"(123.5, 350.0]",2.458904109589041,"(0.999, 2.823]",2.0,baseline,4.969845669927952e-05,-4.303657097330921
15,682,"(350.0, 3428.0]",3.7932551319648096,"(3.741, 5.0]",2.0,baseline,0.00048594002054964567,-3.3134173322847134
16,835,"(350.0, 3428.0]",4.027544910179641,"(3.741, 5.0]",2.0,baseline,0.0002774954331839173,-3.5567441597821867
17,157,"(123.5, 350.0]",3.337579617834395,"(3.332, 3.741]",2.0,baseline,0.0001583548567376701,-3.8003686122919147
18,389,"(350.0, 3428.0]",2.480719794344473,"(0.999, 2.823]",2.0,baseline,3.273028169788789e-05,-4.485050256857844
19,160,"(123.5, 350.0]",2.5375,"(0.999, 2.823]",2.0,baseline,4.1597921028581556e-05,-4.380928373901546
20,1356,"(350.0, 3428.0]",3.6238938053097347,"(3.332, 3.741]",2.0,baseline,0.0002066502844937032,-3.684763992492312
21,378,"(350.0, 3428.0]",3.3492063492063493,"(3.332, 3.741]",2.0,baseline,0.00019952493391989416,-3.700002824352249
22,126,"(123.5, 350.0]",2.857142857142857,"(2.823, 3.332]",2.0,baseline,9.19120178920267e-05,-4.036627699027891
23,624,"(350.0, 3428.0]",3.1794871794871793,"(2.823, 3.332]",2.0,baseline,0.00012741629067709553,-3.8947750421822263
24,980,"(350.0, 3428.0]",3.6510204081632653,"(3.332, 3.741]",2.0,baseline,0.0002787794318817242,-3.5547392712834363
25,100,"(33.0, 123.5]",3.53,"(3.332, 3.741]",2.0,baseline,0.00029251899257885545,-3.53384593093423
26,61,"(33.0, 123.5]",2.9344262295081966,"(2.823, 3.332]",2.0,baseline,0.00015272088232128365,-3.8161015755379237
27,179,"(123.5, 350.0]",4.055865921787709,"(3.741, 5.0]",2.0,baseline,0.0004270565500534231,-3.3695146126798305
28,403,"(350.0, 3428.0]",4.062034739454094,"(3.741, 5.0]",2.0,baseline,0.000458143408545629,-3.338998557386328
29,74,"(33.0, 123.5]",3.6486486486486487,"(3.332, 3.741]",2.0,baseline,0.0002003421307816835,-3.698227711505351
30,141,"(123.5, 350.0]",3.1134751773049647,"(2.823, 3.332]",2.0,baseline,0.0001081439971883807,-3.9659975821917377
31,1511,"(350.0, 3428.0]",3.945731303772336,"(3.741, 5.0]",2.0,baseline,0.0004595554625114187,-3.3376620672830892
32,4,"(0.999, 33.0]",3.0,"(2.823, 3.332]",2.0,baseline,0.0005268155205314619,-3.278341438756043
33,1751,"(350.0, 3428.0]",3.8914905768132497,"(3.741, 5.0]",2.0,baseline,0.0004012583390738656,-3.3965759288521657
34,70,"(33.0, 123.5]",3.3142857142857145,"(2.823, 3.332]",2.0,baseline,0.00010454552910771063,-3.9806945350640803
35,928,"(350.0, 3428.0]",3.9579741379310347,"(3.741, 5.0]",2.0,baseline,0.0005672909413718774,-3.2461941512909607
36,8,"(0.999, 33.0]",3.5,"(3.332, 3.741]",2.0,baseline,0.00023754917614230494,-3.62424647144335
37,28,"(0.999, 33.0]",2.8214285714285716,"(0.999, 2.823]",2.0,baseline,5.6566275882629655e-05,-4.247442412683728
38,1362,"(350.0, 3428.0]",3.6233480176211454,"(3.332, 3.741]",2.0,baseline,0.00021814158734152308,-3.661261530976973
39,30,"(0.999, 33.0]",3.933333333333333,"(3.741, 5.0]",2.0,baseline,0.00032767028727250533,-3.484562938106907
40,242,"(123.5, 350.0]",3.958677685950413,"(3.741, 5.0]",2.0,baseline,0.00036345683526048514,-3.4395471592789613
41,221,"(123.5, 350.0]",2.8687782805429864,"(2.823, 3.332]",2.0,baseline,8.93045788914636e-05,-4.049126273067614
42,166,"(123.5, 350.0]",3.4457831325301207,"(3.332, 3.741]",2.0,baseline,0.0001918316091340128,-3.717079830213187
43,311,"(123.5, 350.0]",2.787781350482315,"(0.999, 2.823]",2.0,baseline,5.3266620276748667e-05,-4.27354485796874
44,544,"(350.0, 3428.0]",3.4246323529411766,"(3.332, 3.741]",2.0,baseline,0.00023517581136279646,-3.628607348972944
45,166,"(123.5, 350.0]",3.108433734939759,"(2.823, 3.332]",2.0,baseline,0.00011628348955147753,-3.9344819439620538
46,1137,"(350.0, 3428.0]",4.106420404573439,"(3.741, 5.0]",2.0,baseline,0.0008146035094896372,-3.0890537232106148
47,382,"(350.0, 3428.0]",2.9764397905759163,"(2.823, 3.332]",2.0,baseline,8.101936952981235e-05,-4.091411140698084
48,27,"(0.999, 33.0]",3.740740740740741,"(3.332, 3.741]",2.0,baseline,0.00039338130672224926,-3.4051862813771896
49,1783,"(350.0, 3428.0]",4.517106001121705,"(3.741, 5.0]",2.0,baseline,0.0015367974716596997,-2.8133833626473677
50,431,"(350.0, 3428.0]",3.640371229698376,"(3.332, 3.741]",2.0,baseline,0.000238786492432692,-3.6219902438235008
51,8,"(0.999, 33.0]",4.75,"(3.741, 5.0]",2.0,baseline,0.0015394289887238918,-2.812640339574456
52,41,"(33.0, 123.5]",2.5609756097560976,"(0.999, 2.823]",2.0,baseline,4.038276577741168e-05,-4.3938039399556805
53,45,"(33.0, 123.5]",3.066666666666667,"(2.823, 3.332]",2.0,baseline,7.11842268774756e-05,-4.147616227415896
54,9,"(0.999, 33.0]",2.0,"(0.999, 2.823]",2.0,baseline,1.9788117192257964e-05,-4.703595526254074
55,99,"(33.0, 123.5]",3.404040404040404,"(3.332, 3.741]",2.0,baseline,0.00019251610814695585,-3.7155329264845283
