inner_id,num_rating,avg_rating,gender,beta,access_type,access
29,43,3.488372093023256,F,2.0,baseline,24.0
34,198,3.54040404040404,M,2.0,baseline,23.799999999999997
43,193,3.6321243523316062,M,2.0,baseline,25.6
45,41,4.219512195121951,M,2.0,baseline,1.0
171,23,3.608695652173913,M,2.0,baseline,21.8
231,90,3.566666666666667,M,2.0,baseline,28.000000000000004
362,43,3.744186046511628,M,2.0,baseline,13.0
405,147,3.306122448979592,M,2.0,baseline,30.4
423,1226,3.735725938009788,M,2.0,baseline,28.199999999999996
490,25,3.68,M,2.0,baseline,0.6
568,125,3.52,F,2.0,baseline,21.4
616,23,4.086956521739131,F,2.0,baseline,25.0
638,400,3.705,M,2.0,baseline,36.199999999999996
693,40,3.625,M,2.0,baseline,24.8
732,117,4.05982905982906,M,2.0,baseline,29.799999999999997
743,297,3.3703703703703702,M,2.0,baseline,23.0
777,163,3.785276073619632,M,2.0,baseline,30.0
796,83,4.036144578313253,F,2.0,baseline,27.200000000000003
809,126,3.8174603174603177,M,2.0,baseline,28.4
821,292,3.7226027397260273,F,2.0,baseline,28.799999999999997
826,22,3.9545454545454546,M,2.0,baseline,18.4
850,76,3.5921052631578947,M,2.0,baseline,33.6
882,36,3.4166666666666665,F,2.0,baseline,2.6
884,64,4.140625,M,2.0,baseline,35.0
918,326,3.9355828220858897,F,2.0,baseline,33.2
952,189,4.6878306878306875,M,2.0,baseline,29.599999999999998
986,176,4.017045454545454,F,2.0,baseline,31.4
1051,67,4.343283582089552,F,2.0,baseline,22.6
1133,150,4.42,M,2.0,baseline,28.999999999999996
1168,118,2.7711864406779663,M,2.0,baseline,16.0
1235,24,3.375,F,2.0,baseline,21.8
1244,36,4.333333333333333,M,2.0,baseline,32.6
1312,29,3.6551724137931036,M,2.0,baseline,22.8
1315,38,3.236842105263158,M,2.0,baseline,19.2
1321,384,4.1171875,M,2.0,baseline,31.6
1324,282,3.9858156028368796,M,2.0,baseline,29.799999999999997
1332,557,3.6965888689407542,M,2.0,baseline,20.0
1340,87,2.3793103448275863,M,2.0,baseline,1.4000000000000001
1344,189,3.7195767195767195,F,2.0,baseline,19.0
1371,53,3.0,M,2.0,baseline,9.6
1445,97,4.453608247422681,M,2.0,baseline,28.4
1446,990,3.2383838383838386,M,2.0,baseline,32.800000000000004
1473,130,3.7846153846153845,M,2.0,baseline,23.799999999999997
1479,43,3.395348837209302,M,2.0,baseline,29.599999999999998
1503,42,3.642857142857143,M,2.0,baseline,24.4
1512,143,4.055944055944056,F,2.0,baseline,31.2
1522,92,3.717391304347826,M,2.0,baseline,24.2
1590,314,4.340764331210191,M,2.0,baseline,29.799999999999997
1607,144,2.0833333333333335,M,2.0,baseline,15.6
1619,36,3.9444444444444446,M,2.0,baseline,20.8
1716,424,3.8160377358490565,F,2.0,baseline,17.2
1734,77,3.2337662337662336,M,2.0,baseline,28.4
1747,589,3.4906621392190154,M,2.0,baseline,32.6
1762,26,3.769230769230769,M,2.0,baseline,29.599999999999998
1763,613,4.091353996737357,M,2.0,baseline,32.0
1825,57,3.5964912280701755,M,2.0,baseline,23.200000000000003
1919,601,3.3860232945091515,F,2.0,baseline,30.4
1948,102,4.176470588235294,M,2.0,baseline,33.0
1966,24,3.5416666666666665,M,2.0,baseline,10.2
1994,86,3.895348837209302,M,2.0,baseline,32.4
2052,25,3.4,M,2.0,baseline,22.400000000000002
2058,253,3.549407114624506,M,2.0,baseline,6.6000000000000005
2080,49,3.122448979591837,M,2.0,baseline,28.000000000000004
2206,21,4.238095238095238,M,2.0,baseline,22.6
2239,99,4.282828282828283,M,2.0,baseline,28.4
2240,128,4.25,M,2.0,baseline,32.0
2250,413,3.6610169491525424,M,2.0,baseline,35.199999999999996
2257,358,3.446927374301676,F,2.0,baseline,32.4
