inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access,log_access
0,2077,"(350.0, 3428.0]",4.146846413095811,"(3.741, 5.0]",2.0,baseline,0.000587620073221402,-3.2309033770404127
1,701,"(350.0, 3428.0]",3.20114122681883,"(2.823, 3.332]",2.0,baseline,0.00010465929436274733,-3.9802221977006735
2,478,"(350.0, 3428.0]",3.01673640167364,"(2.823, 3.332]",2.0,baseline,0.00010042870709959588,-3.9981421282974736
3,170,"(123.5, 350.0]",2.7294117647058824,"(0.999, 2.823]",2.0,baseline,6.258418607707379e-05,-4.203535391503463
4,296,"(123.5, 350.0]",3.0067567567567566,"(2.823, 3.332]",2.0,baseline,9.020420646125724e-05,-4.044773209682932
5,940,"(350.0, 3428.0]",3.8787234042553194,"(3.741, 5.0]",2.0,baseline,0.00028337227770318694,-3.547642639019508
6,458,"(350.0, 3428.0]",3.410480349344978,"(3.332, 3.741]",2.0,baseline,0.00014119691415456236,-3.8501747946460427
7,68,"(33.0, 123.5]",3.014705882352941,"(2.823, 3.332]",2.0,baseline,0.00013497896831165946,-3.869733895636515
8,102,"(33.0, 123.5]",2.656862745098039,"(0.999, 2.823]",2.0,baseline,5.768235612319382e-05,-4.238957008510483
9,888,"(350.0, 3428.0]",3.5405405405405403,"(3.332, 3.741]",2.0,baseline,0.0002572316500294346,-3.5896755964497005
10,1033,"(350.0, 3428.0]",3.7938044530493706,"(3.741, 5.0]",2.0,baseline,0.00041172016766089875,-3.385397859042543
11,160,"(123.5, 350.0]",2.3625,"(0.999, 2.823]",2.0,baseline,3.278922616940307e-05,-4.484268832623828
12,99,"(33.0, 123.5]",3.2626262626262625,"(2.823, 3.332]",2.0,baseline,0.0001768161236141181,-3.7524781348129865
13,153,"(123.5, 350.0]",3.542483660130719,"(3.332, 3.741]",2.0,baseline,0.0002743783444479114,-3.56165016868653
14,146,"(123.5, 350.0]",2.458904109589041,"(0.999, 2.823]",2.0,baseline,5.489634629625071e-05,-4.260456559669779
15,682,"(350.0, 3428.0]",3.7932551319648096,"(3.741, 5.0]",2.0,baseline,0.0005029555135724185,-3.2984704266029783
16,835,"(350.0, 3428.0]",4.027544910179641,"(3.741, 5.0]",2.0,baseline,0.000377602985861256,-3.422964580216288
17,157,"(123.5, 350.0]",3.337579617834395,"(3.332, 3.741]",2.0,baseline,0.00012394557615466004,-3.9067689693875356
18,389,"(350.0, 3428.0]",2.480719794344473,"(0.999, 2.823]",2.0,baseline,6.601358758606045e-05,-4.180366664362623
19,160,"(123.5, 350.0]",2.5375,"(0.999, 2.823]",2.0,baseline,3.417431322255669e-05,-4.466300204387087
20,1356,"(350.0, 3428.0]",3.6238938053097347,"(3.332, 3.741]",2.0,baseline,0.00030066421234693454,-3.5219182623058813
21,378,"(350.0, 3428.0]",3.3492063492063493,"(3.332, 3.741]",2.0,baseline,0.0001459407487613313,-3.8358234298931344
22,126,"(123.5, 350.0]",2.857142857142857,"(2.823, 3.332]",2.0,baseline,6.212003405734452e-05,-4.206768314841214
23,624,"(350.0, 3428.0]",3.1794871794871793,"(2.823, 3.332]",2.0,baseline,0.00011689715940121125,-3.9321960420577327
24,980,"(350.0, 3428.0]",3.6510204081632653,"(3.332, 3.741]",2.0,baseline,0.00029740839840636116,-3.526646771758784
25,100,"(33.0, 123.5]",3.53,"(3.332, 3.741]",2.0,baseline,0.00030026382816880946,-3.522496982728987
26,61,"(33.0, 123.5]",2.9344262295081966,"(2.823, 3.332]",2.0,baseline,9.680400116904682e-05,-4.014106691764684
27,179,"(123.5, 350.0]",4.055865921787709,"(3.741, 5.0]",2.0,baseline,0.0004898705081034267,-3.3099187057845
28,403,"(350.0, 3428.0]",4.062034739454094,"(3.741, 5.0]",2.0,baseline,0.0004417539943778871,-3.3548195148751154
29,74,"(33.0, 123.5]",3.6486486486486487,"(3.332, 3.741]",2.0,baseline,0.00022131723865887777,-3.654984757049487
30,141,"(123.5, 350.0]",3.1134751773049647,"(2.823, 3.332]",2.0,baseline,0.00013426423438095953,-3.8720396602995693
31,1511,"(350.0, 3428.0]",3.945731303772336,"(3.741, 5.0]",2.0,baseline,0.00037527521987279705,-3.425650111920013
32,4,"(0.999, 33.0]",3.0,"(2.823, 3.332]",2.0,baseline,0.00023080503416025104,-3.636754722881234
33,1751,"(350.0, 3428.0]",3.8914905768132497,"(3.741, 5.0]",2.0,baseline,0.000412210565307197,-3.3848808810773985
34,70,"(33.0, 123.5]",3.3142857142857145,"(2.823, 3.332]",2.0,baseline,0.00012819646619272417,-3.8921239462224464
35,928,"(350.0, 3428.0]",3.9579741379310347,"(3.741, 5.0]",2.0,baseline,0.00047438436770179843,-3.323869630631791
36,8,"(0.999, 33.0]",3.5,"(3.332, 3.741]",2.0,baseline,0.00030199814228218857,-3.5199957285629684
37,28,"(0.999, 33.0]",2.8214285714285716,"(0.999, 2.823]",2.0,baseline,1.808023119841524e-05,-4.7427960203455015
38,1362,"(350.0, 3428.0]",3.6233480176211454,"(3.332, 3.741]",2.0,baseline,0.00025896220688676066,-3.5867636125139697
39,30,"(0.999, 33.0]",3.933333333333333,"(3.741, 5.0]",2.0,baseline,0.0003295056857563816,-3.4821370870750776
40,242,"(123.5, 350.0]",3.958677685950413,"(3.741, 5.0]",2.0,baseline,0.000420188772667771,-3.3765555560080656
41,221,"(123.5, 350.0]",2.8687782805429864,"(2.823, 3.332]",2.0,baseline,8.716954938703961e-05,-4.0596351990439095
42,166,"(123.5, 350.0]",3.4457831325301207,"(3.332, 3.741]",2.0,baseline,0.00020299976682936846,-3.692504460928052
43,311,"(123.5, 350.0]",2.787781350482315,"(0.999, 2.823]",2.0,baseline,4.616255504930582e-05,-4.3357101614401685
44,544,"(350.0, 3428.0]",3.4246323529411766,"(3.332, 3.741]",2.0,baseline,0.00019869854771175881,-3.701805307138168
