inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access,log_access
0,2077,"(350.0, 3428.0]",4.146846413095811,"(3.741, 5.0]",2.0,baseline,0.00040227294451251053,-3.3954791755919174
1,701,"(350.0, 3428.0]",3.20114122681883,"(2.823, 3.332]",2.0,baseline,0.00012984082271991158,-3.886588741321183
2,478,"(350.0, 3428.0]",3.01673640167364,"(2.823, 3.332]",2.0,baseline,0.0001266838151412605,-3.897278866125451
3,170,"(123.5, 350.0]",2.7294117647058824,"(0.999, 2.823]",2.0,baseline,5.659036005094206e-05,-4.24725754289733
4,296,"(123.5, 350.0]",3.0067567567567566,"(2.823, 3.332]",2.0,baseline,0.00015166610302417297,-3.8191114720446135
5,940,"(350.0, 3428.0]",3.8787234042553194,"(3.741, 5.0]",2.0,baseline,0.0002631457525855041,-3.5798036355025458
6,458,"(350.0, 3428.0]",3.410480349344978,"(3.332, 3.741]",2.0,baseline,0.00014629368383171118,-3.8347744239515817
7,68,"(33.0, 123.5]",3.014705882352941,"(2.823, 3.332]",2.0,baseline,0.00014689756819683184,-3.832985393640912
8,102,"(33.0, 123.5]",2.656862745098039,"(0.999, 2.823]",2.0,baseline,6.237276015839973e-05,-4.205005036852532
9,888,"(350.0, 3428.0]",3.5405405405405403,"(3.332, 3.741]",2.0,baseline,0.0002762524138617855,-3.5586939184750737
10,1033,"(350.0, 3428.0]",3.7938044530493706,"(3.741, 5.0]",2.0,baseline,0.00030898363200100457,-3.5100645261412584
11,160,"(123.5, 350.0]",2.3625,"(0.999, 2.823]",2.0,baseline,6.379478635025528e-05,-4.195214812686923
12,99,"(33.0, 123.5]",3.2626262626262625,"(2.823, 3.332]",2.0,baseline,0.00016476338198881285,-3.7831393021489483
13,153,"(123.5, 350.0]",3.542483660130719,"(3.332, 3.741]",2.0,baseline,0.00024193761142600744,-3.616296611319655
14,146,"(123.5, 350.0]",2.458904109589041,"(0.999, 2.823]",2.0,baseline,4.911743839347406e-05,-4.3087642909016655
15,682,"(350.0, 3428.0]",3.7932551319648096,"(3.741, 5.0]",2.0,baseline,0.00031239026051860155,-3.505302514708195
16,835,"(350.0, 3428.0]",4.027544910179641,"(3.741, 5.0]",2.0,baseline,0.00030227450322228535,-3.5195984839067402
17,157,"(123.5, 350.0]",3.337579617834395,"(3.332, 3.741]",2.0,baseline,0.00018085448010457346,-3.742670728480491
18,389,"(350.0, 3428.0]",2.480719794344473,"(0.999, 2.823]",2.0,baseline,8.126863514573513e-05,-4.090077033881391
19,160,"(123.5, 350.0]",2.5375,"(0.999, 2.823]",2.0,baseline,6.0194719310082757e-05,-4.220441606334933
20,1356,"(350.0, 3428.0]",3.6238938053097347,"(3.332, 3.741]",2.0,baseline,0.0001935881545214133,-3.7131212202888535
21,378,"(350.0, 3428.0]",3.3492063492063493,"(3.332, 3.741]",2.0,baseline,0.0001634502625225845,-3.7866143775490864
22,126,"(123.5, 350.0]",2.857142857142857,"(2.823, 3.332]",2.0,baseline,9.780570486705248e-05,-4.009635812696834
23,624,"(350.0, 3428.0]",3.1794871794871793,"(2.823, 3.332]",2.0,baseline,0.000139780109720074,-3.8545546229636107
24,980,"(350.0, 3428.0]",3.6510204081632653,"(3.332, 3.741]",2.0,baseline,0.0002163977901609928,-3.664747178527515
25,100,"(33.0, 123.5]",3.53,"(3.332, 3.741]",2.0,baseline,0.00024410878842150637,-3.612416584801335
