inner_id,num_rating,num_rating_q,avg_rating,avg_rating_q,beta,access_type,access
16,211,"(208.0, 2314.0]",4.075829383886256,"(4.0, 4.963]",2.0,baseline,37.4
29,43,"(19.999, 44.0]",3.488372093023256,"(3.444, 3.735]",2.0,baseline,30.0
34,198,"(96.0, 208.0]",3.54040404040404,"(3.444, 3.735]",2.0,baseline,32.2
43,193,"(96.0, 208.0]",3.6321243523316062,"(3.444, 3.735]",2.0,baseline,11.4
45,41,"(19.999, 44.0]",4.219512195121951,"(4.0, 4.963]",2.0,baseline,0.0
62,98,"(96.0, 208.0]",3.4285714285714284,"(1.014, 3.444]",2.0,baseline,19.2
75,87,"(44.0, 96.0]",4.172413793103448,"(4.0, 4.963]",2.0,baseline,23.599999999999998
104,61,"(44.0, 96.0]",4.295081967213115,"(4.0, 4.963]",2.0,baseline,26.0
118,105,"(96.0, 208.0]",3.5428571428571427,"(3.444, 3.735]",2.0,baseline,33.6
127,22,"(19.999, 44.0]",4.363636363636363,"(4.0, 4.963]",2.0,baseline,0.2
152,26,"(19.999, 44.0]",4.076923076923077,"(4.0, 4.963]",2.0,baseline,0.4
171,23,"(19.999, 44.0]",3.608695652173913,"(3.444, 3.735]",2.0,baseline,26.6
231,90,"(44.0, 96.0]",3.566666666666667,"(3.444, 3.735]",2.0,baseline,29.799999999999997
281,29,"(19.999, 44.0]",3.5172413793103448,"(3.444, 3.735]",2.0,baseline,34.2
325,379,"(208.0, 2314.0]",3.3350923482849604,"(1.014, 3.444]",2.0,baseline,34.4
327,62,"(44.0, 96.0]",3.032258064516129,"(1.014, 3.444]",2.0,baseline,38.6
336,198,"(96.0, 208.0]",3.525252525252525,"(3.444, 3.735]",2.0,baseline,1.0
362,43,"(19.999, 44.0]",3.744186046511628,"(3.735, 4.0]",2.0,baseline,2.4
375,117,"(96.0, 208.0]",4.111111111111111,"(4.0, 4.963]",2.0,baseline,8.200000000000001
405,147,"(96.0, 208.0]",3.306122448979592,"(1.014, 3.444]",2.0,baseline,31.4
423,1226,"(208.0, 2314.0]",3.735725938009788,"(3.735, 4.0]",2.0,baseline,35.199999999999996
466,69,"(44.0, 96.0]",3.2028985507246377,"(1.014, 3.444]",2.0,baseline,0.0
490,25,"(19.999, 44.0]",3.68,"(3.444, 3.735]",2.0,baseline,0.2
501,24,"(19.999, 44.0]",4.083333333333333,"(4.0, 4.963]",2.0,baseline,11.0
525,58,"(44.0, 96.0]",3.896551724137931,"(3.735, 4.0]",2.0,baseline,31.6
560,36,"(19.999, 44.0]",3.7222222222222223,"(3.444, 3.735]",2.0,baseline,22.0
568,125,"(96.0, 208.0]",3.52,"(3.444, 3.735]",2.0,baseline,13.0
600,373,"(208.0, 2314.0]",3.1501340482573728,"(1.014, 3.444]",2.0,baseline,37.6
616,23,"(19.999, 44.0]",4.086956521739131,"(4.0, 4.963]",2.0,baseline,28.599999999999998
629,118,"(96.0, 208.0]",4.254237288135593,"(4.0, 4.963]",2.0,baseline,30.599999999999998
638,400,"(208.0, 2314.0]",3.705,"(3.444, 3.735]",2.0,baseline,40.400000000000006
640,121,"(96.0, 208.0]",4.008264462809917,"(4.0, 4.963]",2.0,baseline,35.0
662,112,"(96.0, 208.0]",3.580357142857143,"(3.444, 3.735]",2.0,baseline,35.6
693,40,"(19.999, 44.0]",3.625,"(3.444, 3.735]",2.0,baseline,28.599999999999998
721,55,"(44.0, 96.0]",3.909090909090909,"(3.735, 4.0]",2.0,baseline,34.4
723,157,"(96.0, 208.0]",3.643312101910828,"(3.444, 3.735]",2.0,baseline,29.799999999999997
729,53,"(44.0, 96.0]",3.7735849056603774,"(3.735, 4.0]",2.0,baseline,29.4
732,117,"(96.0, 208.0]",4.05982905982906,"(4.0, 4.963]",2.0,baseline,33.800000000000004
735,114,"(96.0, 208.0]",3.9298245614035086,"(3.735, 4.0]",2.0,baseline,27.0
743,297,"(208.0, 2314.0]",3.3703703703703702,"(1.014, 3.444]",2.0,baseline,26.400000000000002
777,163,"(96.0, 208.0]",3.785276073619632,"(3.735, 4.0]",2.0,baseline,32.800000000000004
782,119,"(96.0, 208.0]",3.5210084033613445,"(3.444, 3.735]",2.0,baseline,33.800000000000004
796,83,"(44.0, 96.0]",4.036144578313253,"(4.0, 4.963]",2.0,baseline,3.8
804,73,"(44.0, 96.0]",3.835616438356164,"(3.735, 4.0]",2.0,baseline,0.0
806,33,"(19.999, 44.0]",3.9696969696969697,"(3.735, 4.0]",2.0,baseline,18.4
809,126,"(96.0, 208.0]",3.8174603174603177,"(3.735, 4.0]",2.0,baseline,10.4
821,292,"(208.0, 2314.0]",3.7226027397260273,"(3.444, 3.735]",2.0,baseline,5.2
826,22,"(19.999, 44.0]",3.9545454545454546,"(3.735, 4.0]",2.0,baseline,1.7999999999999998
850,76,"(44.0, 96.0]",3.5921052631578947,"(3.444, 3.735]",2.0,baseline,35.0
879,115,"(96.0, 208.0]",3.4956521739130433,"(3.444, 3.735]",2.0,baseline,29.799999999999997
882,36,"(19.999, 44.0]",3.4166666666666665,"(1.014, 3.444]",2.0,baseline,1.4000000000000001
884,64,"(44.0, 96.0]",4.140625,"(4.0, 4.963]",2.0,baseline,34.2
918,326,"(208.0, 2314.0]",3.9355828220858897,"(3.735, 4.0]",2.0,baseline,36.6
931,20,"(19.999, 44.0]",4.45,"(4.0, 4.963]",2.0,baseline,0.6
939,130,"(96.0, 208.0]",3.1923076923076925,"(1.014, 3.444]",2.0,baseline,29.4
952,189,"(96.0, 208.0]",4.6878306878306875,"(4.0, 4.963]",2.0,baseline,2.4
954,338,"(208.0, 2314.0]",3.5798816568047336,"(3.444, 3.735]",2.0,baseline,31.2
986,176,"(96.0, 208.0]",4.017045454545454,"(4.0, 4.963]",2.0,baseline,33.6
991,31,"(19.999, 44.0]",3.4193548387096775,"(1.014, 3.444]",2.0,baseline,15.0
1011,55,"(44.0, 96.0]",3.3636363636363638,"(1.014, 3.444]",2.0,baseline,11.200000000000001
1015,151,"(96.0, 208.0]",3.7880794701986753,"(3.735, 4.0]",2.0,baseline,36.0
1051,67,"(44.0, 96.0]",4.343283582089552,"(4.0, 4.963]",2.0,baseline,0.6
1066,96,"(44.0, 96.0]",3.96875,"(3.735, 4.0]",2.0,baseline,32.800000000000004
1133,150,"(96.0, 208.0]",4.42,"(4.0, 4.963]",2.0,baseline,25.0
1168,118,"(96.0, 208.0]",2.7711864406779663,"(1.014, 3.444]",2.0,baseline,23.400000000000002
1235,24,"(19.999, 44.0]",3.375,"(1.014, 3.444]",2.0,baseline,37.4
1239,30,"(19.999, 44.0]",3.066666666666667,"(1.014, 3.444]",2.0,baseline,0.8
1244,36,"(19.999, 44.0]",4.333333333333333,"(4.0, 4.963]",2.0,baseline,37.4
1312,29,"(19.999, 44.0]",3.6551724137931036,"(3.444, 3.735]",2.0,baseline,27.0
1315,38,"(19.999, 44.0]",3.236842105263158,"(1.014, 3.444]",2.0,baseline,19.8
1321,384,"(208.0, 2314.0]",4.1171875,"(4.0, 4.963]",2.0,baseline,35.4
1324,282,"(208.0, 2314.0]",3.9858156028368796,"(3.735, 4.0]",2.0,baseline,31.4
1332,557,"(208.0, 2314.0]",3.6965888689407542,"(3.444, 3.735]",2.0,baseline,13.0
1340,87,"(44.0, 96.0]",2.3793103448275863,"(1.014, 3.444]",2.0,baseline,0.2
1344,189,"(96.0, 208.0]",3.7195767195767195,"(3.444, 3.735]",2.0,baseline,1.2
1360,133,"(96.0, 208.0]",4.135338345864661,"(4.0, 4.963]",2.0,baseline,32.800000000000004
1371,53,"(44.0, 96.0]",3.0,"(1.014, 3.444]",2.0,baseline,24.4
1434,35,"(19.999, 44.0]",3.4571428571428573,"(3.444, 3.735]",2.0,baseline,20.8
1445,97,"(96.0, 208.0]",4.453608247422681,"(4.0, 4.963]",2.0,baseline,30.0
1446,990,"(208.0, 2314.0]",3.2383838383838386,"(1.014, 3.444]",2.0,baseline,34.0
1454,61,"(44.0, 96.0]",3.7540983606557377,"(3.735, 4.0]",2.0,baseline,30.8
1473,130,"(96.0, 208.0]",3.7846153846153845,"(3.735, 4.0]",2.0,baseline,16.2
1475,70,"(44.0, 96.0]",3.757142857142857,"(3.735, 4.0]",2.0,baseline,36.6
1479,43,"(19.999, 44.0]",3.395348837209302,"(1.014, 3.444]",2.0,baseline,36.6
1494,182,"(96.0, 208.0]",2.620879120879121,"(1.014, 3.444]",2.0,baseline,31.4
1503,42,"(19.999, 44.0]",3.642857142857143,"(3.444, 3.735]",2.0,baseline,28.000000000000004
1512,143,"(96.0, 208.0]",4.055944055944056,"(4.0, 4.963]",2.0,baseline,35.4
1522,92,"(44.0, 96.0]",3.717391304347826,"(3.444, 3.735]",2.0,baseline,32.800000000000004
1590,314,"(208.0, 2314.0]",4.340764331210191,"(4.0, 4.963]",2.0,baseline,28.4
1607,144,"(96.0, 208.0]",2.0833333333333335,"(1.014, 3.444]",2.0,baseline,32.4
